date,user,device,0,1,2,3,4,5,6,7
1553159921339,baptiste,Gi161124,0,1376,1140,660,962,1020,840,1259
1553159954516,baptiste,Gi161124,0,960,1680,661,4200,1920,2582,1078
1553159972516,baptiste,Gi161124,0,660,1500,720,1621,719,2343,1377
1553160002817,baptiste,Gi161124,0,599,1320,600,661,599,2404,477
1553160012118,baptiste,Gi161124,0,478,1205,896,1258,541,1199,541
1553160023099,baptiste,Gi161124,0,718,960,540,1199,539,781,420
1553160035937,baptiste,Gi161124,0,538,1142,479,2284,537,3063,837
1553160048536,baptiste,Gi161124,0,660,1142,479,1498,481,961,418
1553160060597,baptiste,Gi161124,0,658,1262,480,960,478,602,480
1553160069060,baptiste,Gi161124,0,1077,960,781,718,421,658,422
1553160107336,baptiste,Gi161124,0,659,841,481,718,602,660,1079
1553160115020,baptiste,Gi161124,0,476,1501,481,719,659,601,539
1553160122877,baptiste,Gi161124,0,480,1259,780,780,420,1080,420
1553160130740,baptiste,Gi161124,0,1437,900,420,2283,897,1019,541
1553160141778,baptiste,Gi161124,0,179,2403,417,960,540,1079,481
1553160152040,baptiste,Gi161124,0,537,1320,899,902,418,1202,539
1553160159776,baptiste,Gi161124,0,481,1200,1079,3845,535,1501,540
1553160170397,baptiste,Gi161124,0,1199,1141,900,1679,661,719,480
1553160180419,baptiste,Gi161124,0,597,961,479,782,598,1143,599
1553160193259,baptiste,Gi161124,0,539,719,539,841,780,1861,659
1553160218039,baptiste,Gi161124,0,598,1140,420,4863,596,1202,539
1553160269217,baptiste,Gi161124,0,482,1679,540,1318,841,1261,540
1553160289138,baptiste,Gi161124,0,779,661,599,720,540,601,419
1553160295437,baptiste,Gi161124,0,781,1319,600,1141,600,599,540
1553160312658,baptiste,Gi161124,0,360,660,480,780,420,780,480
1553160338518,baptiste,Gi161124,0,539,961,540,1259,1381,1141,538
1553160345718,baptiste,Gi161124,0,539,961,479,960,542,780,540
1553160364799,baptiste,Gi161124,0,538,782,540,718,542,779,420
1553160389039,baptiste,Gi161124,0,540,660,420,539,539,542,419
1553160416518,baptiste,Gi161124,0,481,1079,1141,720,540,719,479
1553160422397,baptiste,Gi161124,0,481,603,778,958,122,599,481
1553160430919,baptiste,Gi161124,0,480,719,541,600,480,599,781
1553160441719,baptiste,Gi161124,0,959,600,540,541,719,721,598
1553160448079,baptiste,Gi161124,0,360,2403,476,899,481,539,661
1553160461939,baptiste,Gi161124,0,720,1018,841,1320,840,1621,838
1553160471777,baptiste,Gi161124,0,241,1381,539,719,602,780,480
1553160477839,baptiste,Gi161124,0,479,1561,540,780,539,2824,836
1553160486359,baptiste,Gi161124,0,600,1320,418,660,724,1078,959
1553160493679,baptiste,Gi161124,0,540,1559,600,540,421,2101,418
1553160501359,baptiste,Gi161124,0,479,780,420,601,420,720,360
1553160516600,baptiste,Gi161124,0,899,720,479,601,1021,659,779
1553160522540,baptiste,Gi161124,0,479,599,481,720,599,1622,539
1553160534238,baptiste,Gi161124,0,1080,720,600,1021,359,601,480
1553160548220,baptiste,Gi161124,0,659,719,782,839,541,1078,482
1553160565978,baptiste,Gi161124,0,540,720,421,780,419,661,480
1553160579179,baptiste,Gi161124,0,599,721,481,659,539,662,539
1553160594058,baptiste,Gi161124,0,540,1620,480,721,600,659,481
1553160600538,baptiste,Gi161124,0,540,2464,1136,1321,539,601,480
1553160608460,baptiste,Gi161124,0,839,720,480,600,540,480,541
1553160613858,baptiste,Gi161124,0,540,600,481,599,482,1138,541
1553095539137,jules,GiS61148,0,58,540,1,359,121,359,60
1553095539138,jules,GiS61148,0,118,540,60,299,121,360,120
1553095539139,jules,GiS61148,0,120,540,240,61,179,360,120
1553095539140,jules,GiS61148,0,126,474,120,239,181,360,120
1553095539141,jules,GiS61148,0,119,480,60,301,119,421,121
1553095539142,jules,GiS61148,0,1,537,120,299,61,419,240
1553095539143,jules,GiS61148,0,120,539,61,480,1,479,60
1553095539144,jules,GiS61148,0,180,540,60,300,120,420,120
1553095539145,jules,GiS61148,0,121,660,59,301,119,361,120
1553095539146,jules,GiS61148,0,118,660,60,360,120,420,121
1553095539147,jules,GiS61148,0,61,479,121,299,180,360,360
1553095539148,jules,GiS61148,0,120,542,58,420,182,417,121
1553095539149,jules,GiS61148,0,121,659,0,420,120,419,121
1553095539150,jules,GiS61148,0,60,600,179,420,181,359,120
1553095539151,jules,GiS61148,0,121,539,120,240,120,420,420
1553095539152,jules,GiS61148,0,120,480,61,299,780,240,180
1553095539153,jules,GiS61148,0,121,541,118,720,120,482,118
1553095539154,jules,GiS61148,0,541,659,421,241,179,422,58
1553161421223,jules,Gi161124,0,59,479,60,362,179,360,421
1553161423502,jules,Gi161124,0,119,480,122,299,119,422,118
1553161425603,jules,Gi161124,0,119,480,720,240,179,360,121
1553161428242,jules,Gi161124,0,59,480,60,300,180,360,421
1553161430402,jules,Gi161124,0,120,479,60,300,181,299,181
1553161432561,jules,Gi161124,0,61,480,119,361,119,361,120
1553161434603,jules,Gi161124,0,118,480,60,300,120,420,120
1553161436641,jules,Gi161124,0,180,420,240,240,121,419,120
1553161438862,jules,Gi161124,0,120,539,60,421,240,362,57
1553161441141,jules,Gi161124,0,61,481,179,300,119,420,61
1553161443242,jules,Gi161124,0,540,479,61,480,120,599,121
1553161446181,jules,Gi161124,0,120,541,120,299,120,420,181
1553161448401,jules,Gi161124,0,61,599,1,299,120,421,60
1553161450502,jules,Gi161124,0,59,541,60,299,120,361,120
1553161452605,jules,Gi161124,0,177,539,180,301,180,360,420
1553161455062,jules,Gi161124,0,120,479,60,361,119,420,120
1553161457103,jules,Gi161124,0,178,481,120,300,180,600,300
1553161459622,jules,Gi161124,0,180,479,240,601,120,419,60
1553161462681,jules,Gi161124,0,120,481,60,479,121,360,119
1553161464962,jules,Gi161124,0,120,479,180,300,181,419,121
1553161467241,jules,Gi161124,0,121,480,60,360,120,420,59
1553161469401,jules,Gi161124,0,121,840,119,240,240,420,421
1553161472103,jules,Gi161124,0,118,481,60,481,178,422,119
1553161474322,jules,Gi161124,0,119,542,58,302,119,359,121
1553161476482,jules,Gi161124,0,60,479,61,360,179,361,300
1553161478582,jules,Gi161124,0,119,960,120,301,179,420,120
1553161481222,jules,Gi161124,0,119,480,120,300,120,420,181
1553161483442,jules,Gi161124,0,179,480,60,360,121,420,180
1553161485602,jules,Gi161124,0,119,540,180,240,181,360,240
1553161487881,jules,Gi161124,0,180,480,120,300,121,420,359
1553161490162,jules,Gi161124,0,119,541,59,361,119,540,121
1553161492802,jules,Gi161124,0,180,539,121,299,181,360,179
1553095539155,olivier,GiS61148,0,300,842,358,600,482,778,420
1553095539156,olivier,GiS61148,0,359,781,480,600,540,781,479
1553095539157,olivier,GiS61148,0,420,780,420,719,662,839,360
1553095539158,olivier,GiS61148,0,420,720,420,841,419,899,481
1553095539159,olivier,GiS61148,0,600,839,420,601,542,778,540
1553095539160,olivier,GiS61148,0,541,839,540,600,420,600,781
1553095539161,olivier,GiS61148,0,359,900,481,540,539,1021,539
1553095539162,olivier,GiS61148,0,359,841,299,720,599,1081,540
1553095539163,olivier,GiS61148,0,420,1260,359,600,421,959,421
1553095539164,olivier,GiS61148,0,540,660,1021,598,300,901,420
1553095539165,olivier,GiS61148,0,360,720,420,600,479,1141,780
1553095539166,olivier,GiS61148,0,540,844,538,779,359,1022,540
1553095539167,olivier,GiS61148,0,358,960,540,779,1080,721,420
1553095539168,olivier,GiS61148,0,481,840,600,1441,299,780,480
1553095539169,olivier,GiS61148,0,597,480,420,900,420,1320,900
1553095539170,olivier,GiS61148,0,421,780,840,899,301,1020,900
1553095539171,olivier,GiS61148,0,660,659,479,901,360,1443,1076
1553095539172,olivier,GiS61148,0,300,840,419,661,300,2040,1080
1553095539173,olivier,GiS61148,0,420,1680,420,1261,479,780,600
1553095539174,olivier,GiS61148,0,421,838,421,840,359,2401,480
1553095539175,olivier,GiS61148,0,659,781,660,480,479,2040,720
1553095539176,olivier,GiS61148,0,480,2223,357,1140,420,1080,419
1553095539177,olivier,GiS61148,0,479,1020,362,1259,360,1680,1020
1553095539178,olivier,GiS61148,0,660,1681,479,1919,662,899,720
1553095539179,olivier,GiS61148,0,240,1200,421,719,480,3423,1497
1553161105680,olivier,Gi161124,0,361,1019,480,600,240,599,721
1553161110480,olivier,Gi161124,0,419,840,421,660,301,839,359
1553161116000,olivier,Gi161124,0,420,660,360,780,360,959,961
1553161121640,olivier,Gi161124,0,539,661,419,725,475,780,481
1553161129619,olivier,Gi161124,0,421,721,480,959,600,959,481
1553161135020,olivier,Gi161124,0,481,660,358,721,360,779,420
1553161139639,olivier,Gi161124,0,540,660,480,540,540,1020,480
1553161144799,olivier,Gi161124,0,540,661,419,660,1080,1080,780
1553161162981,olivier,Gi161124,0,298,720,1442,479,359,720,600
1553161169399,olivier,Gi161124,0,420,660,780,900,301,1439,421
1553161175760,olivier,Gi161124,0,480,720,480,539,302,1200,720
1553161181401,olivier,Gi161124,0,420,2224,536,540,300,601,418
1553161187402,olivier,Gi161124,0,420,599,361,719,479,902,480
1553161192201,olivier,Gi161124,0,422,778,480,721,778,960,720
1553161197901,olivier,Gi161124,0,419,780,540,600,662,838,601
1553161203721,olivier,Gi161124,0,360,661,599,601,419,900,784
1553161209180,olivier,Gi161124,0,541,600,599,481,359,1141,421
1553161214402,olivier,Gi161124,0,419,659,421,599,421,780,781
1553161219262,olivier,Gi161124,0,659,659,660,601,301,779,480
1553161224181,olivier,Gi161124,0,540,721,539,1079,540,721,781
1553161229882,olivier,Gi161124,0,480,779,721,659,600,721,478
1553161235282,olivier,Gi161124,0,540,780,479,603,478,899,540
1553161240381,olivier,Gi161124,0,419,781,419,541,662,898,780
1553161248302,olivier,Gi161124,0,418,720,361,479,480,841,1559
1553161253820,olivier,Gi161124,0,301,780,601,480,300,1739,480
1553160819120,romain,Gi161124,0,59,240,121,359,481,59,299
1553160821818,romain,Gi161124,0,61,301,120,360,240,240,300
1553160824100,romain,Gi161124,0,60,298,540,181,421,180,179
1553160827159,romain,Gi161124,0,120,301,659,120,300,240,181
1553160829979,romain,Gi161124,0,120,301,179,420,240,240,181
1553160835203,romain,Gi161124,0,56,240,300,179,301,180,239
1553160837959,romain,Gi161124,0,59,301,181,239,239,181,239
1553160840899,romain,Gi161124,0,60,299,121,300,601,120,179
1553160843539,romain,Gi161124,0,121,299,119,362,300,118,361
1553160846060,romain,Gi161124,0,120,420,420,299,419,180,302
1553160849481,romain,Gi161124,0,177,250,112,298,242,360,1
1553160852419,romain,Gi161124,0,60,240,121,300,240,179,120
1553160854759,romain,Gi161124,0,60,240,121,301,237,121,179
1553160856920,romain,Gi161124,0,119,239,122,299,361,60,238
1553160861002,romain,Gi161124,0,57,239,122,359,361,2,118
1553160863160,romain,Gi161124,0,119,419,60,300,361,61,240
1553160866278,romain,Gi161124,0,60,302,119,239,301,180,421
1553160868498,romain,Gi161124,0,121,301,179,299,182,180,240
1553160871620,romain,Gi161124,0,58,242,119,239,302,118,241
1553160873779,romain,Gi161124,0,180,240,119,301,239,182,179
1553160879059,romain,Gi161124,0,119,241,60,421,180,179,239
1553160881519,romain,Gi161124,0,121,359,361,178,361,121,239
1553160890218,romain,Gi161124,0,121,239,121,301,239,120,300
1553160892799,romain,Gi161124,0,60,300,61,360,240,119,300
1553160895081,romain,Gi161124,0,118,241,179,240,301,120,298
1553160903718,romain,Gi161124,0,121,241,179,360,301,240,178
1553160906119,romain,Gi161124,0,180,240,180,301,299,181,239
1553160908578,romain,Gi161124,0,180,240,181,241,239,179,662
1553160911042,romain,Gi161124,0,118,300,660,178,300,242,300
1553160914160,romain,Gi161124,0,180,298,121,300,239,361,1
1553160922621,romain,Gi161124,0,118,243,298,120,240,180,239
1553160925619,romain,Gi161124,0,181,299,241,238,181,120,241
1553160927900,romain,Gi161124,0,178,301,121,360,299,121,300
1553160931679,romain,Gi161124,0,1,421,539,420,240,180,298
1553160936423,romain,Gi161124,0,56,420,119,241,301,118,240
1553160939119,romain,Gi161124,0,119,300,121,301,178,121,239
1553160941398,romain,Gi161124,0,120,300,181,239,302,118,242
1553160946260,romain,Gi161124,0,120,359,60,300,179,240,600
1553160948418,romain,Gi161124,0,182,358,422,180,360,119,359
1553160954002,romain,Gi161124,0,57,300,120,301,299,120,240
1553160956518,romain,Gi161124,0,121,300,179,241,239,182,239
1553160961919,romain,Gi161124,0,60,241,121,298,241,300,180
1553160964739,romain,Gi161124,0,120,240,120,301,239,182,178
1553160967080,romain,Gi161124,0,180,240,119,360,241,120,239
1553160971703,romain,Gi161124,0,56,241,240,359,240,181,179
1553160974160,romain,Gi161124,0,119,301,119,300,241,119,242
1553160976440,romain,Gi161124,0,119,241,179,301,299,180,301
1553160986879,romain,Gi161124,0,60,301,179,360,301,180,179
1553160989279,romain,Gi161124,0,180,240,121,299,362,120,600
1553160992699,romain,Gi161124,0,121,240,180,300,179,180,181